id,question,answer,obfuscatedQuestion,mechanism
1,will there be a new season of cutthroat kitchen,False,will there be a new season of cutthroat kitchen,Mechanism
1,will there be a new season of cutthroat kitchen,False,will there be a new season of cutthroat kitchen,Mechanism
1,will there be a new season of cutthroat kitchen,False,will there be a new season of cutthroat kitchen,Mechanism
1,will there be a new season of cutthroat kitchen,False,will there be a new season of cutthroat kitchen,Mechanism
1,will there be a new season of cutthroat kitchen,False,will there be a new season of cutthroat kitchen,Mechanism
2,can elves and humans mate lord of the rings,True,can elves and humans mate lord of the rings,Mechanism
2,can elves and humans mate lord of the rings,True,can elves and humans mate lord of the rings,Mechanism
2,can elves and humans mate lord of the rings,True,can elves and humans mate lord of the rings,Mechanism
2,can elves and humans mate lord of the rings,True,can elves and humans mate lord of the rings,Mechanism
2,can elves and humans mate lord of the rings,True,can elves and humans mate lord of the rings,Mechanism
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride the same thing,Mechanism
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride the same thing,Mechanism
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride the same thing,Mechanism
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride the same thing,Mechanism
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride the same thing,Mechanism
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise that knowledge should first be acquired through observation,Mechanism
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise that knowledge should first be acquired through observation,Mechanism
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise that knowledge should first be acquired through observation,Mechanism
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise that knowledge should first be acquired through observation,Mechanism
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise that knowledge should first be acquired through observation,Mechanism
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mechanism
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mechanism
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mechanism
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mechanism
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mechanism
6,is jack sikma in the hall of fame,True,is jack sikma in the hall of fame,Mechanism
6,is jack sikma in the hall of fame,True,is jack sikma in the hall of fame,Mechanism
6,is jack sikma in the hall of fame,True,is jack sikma in the hall of fame,Mechanism
6,is jack sikma in the hall of fame,True,is jack sikma in the hall of fame,Mechanism
6,is jack sikma in the hall of fame,True,is jack sikma in the hall of fame,Mechanism
7,is croatia part of the european economic area,True,is croatia part of the european economic area,Mechanism
7,is croatia part of the european economic area,True,is croatia part of the european economic area,Mechanism
7,is croatia part of the european economic area,True,is croatia part of the european economic area,Mechanism
7,is croatia part of the european economic area,True,is croatia part of the european economic area,Mechanism
7,is croatia part of the european economic area,True,is croatia part of the european economic area,Mechanism
8,is jersey currency legal tender in the uk,False,is jersey currency legal tender in the uk,Mechanism
8,is jersey currency legal tender in the uk,False,is jersey currency legal tender in the uk,Mechanism
8,is jersey currency legal tender in the uk,False,is jersey currency legal tender in the uk,Mechanism
8,is jersey currency legal tender in the uk,False,is jersey currency legal tender in the uk,Mechanism
8,is jersey currency legal tender in the uk,False,is jersey currency legal tender in the uk,Mechanism
9,is confectionary sugar the same as powdered sugar,True,is confectionary sugar the same as powdered sugar,Mechanism
9,is confectionary sugar the same as powdered sugar,True,is confectionary sugar the same as powdered sugar,Mechanism
9,is confectionary sugar the same as powdered sugar,True,is confectionary sugar the same as powdered sugar,Mechanism
9,is confectionary sugar the same as powdered sugar,True,is confectionary sugar the same as powdered sugar,Mechanism
9,is confectionary sugar the same as powdered sugar,True,is confectionary sugar the same as powdered sugar,Mechanism
10,calcium carbide cac2 is the raw material for the production of acetylene,True,calcium carbide seljord is the raw material for the production of acetylene,Mechanism
10,calcium carbide cac2 is the raw material for the production of acetylene,True,calcium carbide vitriol is the raw material for the production of acetylene,Mechanism
10,calcium carbide cac2 is the raw material for the production of acetylene,True,calcium carbide handing is the raw material for the production of acetylene,Mechanism
10,calcium carbide cac2 is the raw material for the production of acetylene,True,calcium carbide masochism is the raw material for the production of acetylene,Mechanism
10,calcium carbide cac2 is the raw material for the production of acetylene,True,calcium carbide nethrlnds is the raw material for the production of acetylene,Mechanism
11,do iran and afghanistan speak the same language,True,do iran and afghanistan speak the same language,Mechanism
11,do iran and afghanistan speak the same language,True,do iran and afghanistan speak the same language,Mechanism
11,do iran and afghanistan speak the same language,True,do iran and afghanistan speak the same language,Mechanism
11,do iran and afghanistan speak the same language,True,do iran and afghanistan speak the same language,Mechanism
11,do iran and afghanistan speak the same language,True,do iran and afghanistan speak the same language,Mechanism
12,is elder scrolls online the same as skyrim,False,is elder scrolls online the same as orphnoch,Mechanism
12,is elder scrolls online the same as skyrim,False,is elder scrolls online the same as fiscal,Mechanism
12,is elder scrolls online the same as skyrim,False,is elder scrolls online the same as zipped,Mechanism
12,is elder scrolls online the same as skyrim,False,is elder scrolls online the same as tidal,Mechanism
12,is elder scrolls online the same as skyrim,False,is elder scrolls online the same as popović,Mechanism
13,the boy in the plastic bubble based on true story,True,the boy in the plastic bubble based on true story,Mechanism
13,the boy in the plastic bubble based on true story,True,the boy in the plastic bubble based on true story,Mechanism
13,the boy in the plastic bubble based on true story,True,the boy in the plastic bubble based on true story,Mechanism
13,the boy in the plastic bubble based on true story,True,the boy in the plastic bubble based on true story,Mechanism
13,the boy in the plastic bubble based on true story,True,the boy in the plastic bubble based on true story,Mechanism
14,is the federal court the same as the supreme court,False,is the federal court the same as the supreme court,Mechanism
14,is the federal court the same as the supreme court,False,is the federal court the same as the supreme court,Mechanism
14,is the federal court the same as the supreme court,False,is the federal court the same as the supreme court,Mechanism
14,is the federal court the same as the supreme court,False,is the federal court the same as the supreme court,Mechanism
14,is the federal court the same as the supreme court,False,is the federal court the same as the supreme court,Mechanism
15,is the movie fools gold a true story,False,is the movie fools gold a true story,Mechanism
15,is the movie fools gold a true story,False,is the movie fools gold a true story,Mechanism
15,is the movie fools gold a true story,False,is the movie fools gold a true story,Mechanism
15,is the movie fools gold a true story,False,is the movie fools gold a true story,Mechanism
15,is the movie fools gold a true story,False,is the movie fools gold a true story,Mechanism
16,will there be a season 4 of da vincis demons,False,will there be a season 4 of da canny demons,Mechanism
16,will there be a season 4 of da vincis demons,False,will there be a season 4 of da companionship demons,Mechanism
16,will there be a season 4 of da vincis demons,False,will there be a season 4 of da undercover demons,Mechanism
16,will there be a season 4 of da vincis demons,False,will there be a season 4 of da 83.75 demons,Mechanism
16,will there be a season 4 of da vincis demons,False,will there be a season 4 of da formulated demons,Mechanism
17,did abraham lincoln write the letter in saving private ryan,True,did abraham lincoln write the letter in saving private ryan,Mechanism
17,did abraham lincoln write the letter in saving private ryan,True,did abraham lincoln write the letter in saving private ryan,Mechanism
17,did abraham lincoln write the letter in saving private ryan,True,did abraham lincoln write the letter in saving private ryan,Mechanism
17,did abraham lincoln write the letter in saving private ryan,True,did abraham lincoln write the letter in saving private ryan,Mechanism
17,did abraham lincoln write the letter in saving private ryan,True,did abraham lincoln write the letter in saving private ryan,Mechanism
18,is there a now you see me 3 coming out,True,is there a now you see me 3 coming out,Mechanism
18,is there a now you see me 3 coming out,True,is there a now you see me 3 coming out,Mechanism
18,is there a now you see me 3 coming out,True,is there a now you see me 3 coming out,Mechanism
18,is there a now you see me 3 coming out,True,is there a now you see me 3 coming out,Mechanism
18,is there a now you see me 3 coming out,True,is there a now you see me 3 coming out,Mechanism
19,do you always have to say check in chess,False,do you always have to say check in chess,Mechanism
19,do you always have to say check in chess,False,do you always have to say check in chess,Mechanism
19,do you always have to say check in chess,False,do you always have to say check in chess,Mechanism
19,do you always have to say check in chess,False,do you always have to say check in chess,Mechanism
19,do you always have to say check in chess,False,do you always have to say check in chess,Mechanism
20,does a penalty shoot out goal count towards the golden boot,False,does a penalty shoot out goal count towards the golden boot,Mechanism
20,does a penalty shoot out goal count towards the golden boot,False,does a penalty shoot out goal count towards the golden boot,Mechanism
20,does a penalty shoot out goal count towards the golden boot,False,does a penalty shoot out goal count towards the golden boot,Mechanism
20,does a penalty shoot out goal count towards the golden boot,False,does a penalty shoot out goal count towards the golden boot,Mechanism
20,does a penalty shoot out goal count towards the golden boot,False,does a penalty shoot out goal count towards the golden boot,Mechanism
21,can you drink alcohol in public in denmark,True,can you drink alcohol in public in denmark,Mechanism
21,can you drink alcohol in public in denmark,True,can you drink alcohol in public in denmark,Mechanism
21,can you drink alcohol in public in denmark,True,can you drink alcohol in public in denmark,Mechanism
21,can you drink alcohol in public in denmark,True,can you drink alcohol in public in denmark,Mechanism
21,can you drink alcohol in public in denmark,True,can you drink alcohol in public in denmark,Mechanism
22,has any nfl team played the superbowl at home,False,has any nfl team played the superbowl at home,Mechanism
22,has any nfl team played the superbowl at home,False,has any nfl team played the superbowl at home,Mechanism
22,has any nfl team played the superbowl at home,False,has any nfl team played the superbowl at home,Mechanism
22,has any nfl team played the superbowl at home,False,has any nfl team played the superbowl at home,Mechanism
22,has any nfl team played the superbowl at home,False,has any nfl team played the superbowl at home,Mechanism
23,is a wolverine the same as a badger,False,is a wolverine the same as a badger,Mechanism
23,is a wolverine the same as a badger,False,is a wolverine the same as a badger,Mechanism
23,is a wolverine the same as a badger,False,is a wolverine the same as a badger,Mechanism
23,is a wolverine the same as a badger,False,is a wolverine the same as a badger,Mechanism
23,is a wolverine the same as a badger,False,is a wolverine the same as a badger,Mechanism
24,is an australian shepherd the same as an australian cattle dog,False,is an australian shepherd the same as an australian cattle dog,Mechanism
24,is an australian shepherd the same as an australian cattle dog,False,is an australian shepherd the same as an australian cattle dog,Mechanism
24,is an australian shepherd the same as an australian cattle dog,False,is an australian shepherd the same as an australian cattle dog,Mechanism
24,is an australian shepherd the same as an australian cattle dog,False,is an australian shepherd the same as an australian cattle dog,Mechanism
24,is an australian shepherd the same as an australian cattle dog,False,is an australian shepherd the same as an australian cattle dog,Mechanism
25,is tim brown in the hall of fame,True,is tim brown in the hall of fame,Mechanism
25,is tim brown in the hall of fame,True,is tim brown in the hall of fame,Mechanism
25,is tim brown in the hall of fame,True,is tim brown in the hall of fame,Mechanism
25,is tim brown in the hall of fame,True,is tim brown in the hall of fame,Mechanism
25,is tim brown in the hall of fame,True,is tim brown in the hall of fame,Mechanism
26,does the icc has jurisdiction in the united states,False,does the icc has jurisdiction in the united states,Mechanism
26,does the icc has jurisdiction in the united states,False,does the icc has jurisdiction in the united states,Mechanism
26,does the icc has jurisdiction in the united states,False,does the icc has jurisdiction in the united states,Mechanism
26,does the icc has jurisdiction in the united states,False,does the icc has jurisdiction in the united states,Mechanism
26,does the icc has jurisdiction in the united states,False,does the icc has jurisdiction in the united states,Mechanism
27,is windows movie maker part of windows essentials,True,is windows movie maker part of windows essentials,Mechanism
27,is windows movie maker part of windows essentials,True,is windows movie maker part of windows essentials,Mechanism
27,is windows movie maker part of windows essentials,True,is windows movie maker part of windows essentials,Mechanism
27,is windows movie maker part of windows essentials,True,is windows movie maker part of windows essentials,Mechanism
27,is windows movie maker part of windows essentials,True,is windows movie maker part of windows essentials,Mechanism
28,is the fallen movie going to have a sequel,False,is the fallen movie going to have a sequel,Mechanism
28,is the fallen movie going to have a sequel,False,is the fallen movie going to have a sequel,Mechanism
28,is the fallen movie going to have a sequel,False,is the fallen movie going to have a sequel,Mechanism
28,is the fallen movie going to have a sequel,False,is the fallen movie going to have a sequel,Mechanism
28,is the fallen movie going to have a sequel,False,is the fallen movie going to have a sequel,Mechanism
29,is batman and robin a sequel to batman forever,True,is batman and robin a sequel to batman forever,Mechanism
29,is batman and robin a sequel to batman forever,True,is batman and robin a sequel to batman forever,Mechanism
29,is batman and robin a sequel to batman forever,True,is batman and robin a sequel to batman forever,Mechanism
29,is batman and robin a sequel to batman forever,True,is batman and robin a sequel to batman forever,Mechanism
29,is batman and robin a sequel to batman forever,True,is batman and robin a sequel to batman forever,Mechanism
30,is kingdom manga based on a true story,True,is kingdom manga based on a true story,Mechanism
30,is kingdom manga based on a true story,True,is kingdom manga based on a true story,Mechanism
30,is kingdom manga based on a true story,True,is kingdom manga based on a true story,Mechanism
30,is kingdom manga based on a true story,True,is kingdom manga based on a true story,Mechanism
30,is kingdom manga based on a true story,True,is kingdom manga based on a true story,Mechanism
31,will there be a green lantern 2 movie,False,will there be a green lantern 2 movie,Mechanism
31,will there be a green lantern 2 movie,False,will there be a green lantern 2 movie,Mechanism
31,will there be a green lantern 2 movie,False,will there be a green lantern 2 movie,Mechanism
31,will there be a green lantern 2 movie,False,will there be a green lantern 2 movie,Mechanism
31,will there be a green lantern 2 movie,False,will there be a green lantern 2 movie,Mechanism
32,can you use oyster card at epsom station,False,can you use oyster card at epsom station,Mechanism
32,can you use oyster card at epsom station,False,can you use oyster card at epsom station,Mechanism
32,can you use oyster card at epsom station,False,can you use oyster card at epsom station,Mechanism
32,can you use oyster card at epsom station,False,can you use oyster card at epsom station,Mechanism
32,can you use oyster card at epsom station,False,can you use oyster card at epsom station,Mechanism
33,is post office and royal mail the same,False,is post office and royal mail the same,Mechanism
33,is post office and royal mail the same,False,is post office and royal mail the same,Mechanism
33,is post office and royal mail the same,False,is post office and royal mail the same,Mechanism
33,is post office and royal mail the same,False,is post office and royal mail the same,Mechanism
33,is post office and royal mail the same,False,is post office and royal mail the same,Mechanism
34,do good samaritan laws protect those who help at an accident,True,do good samaritan laws protect those who help at an accident,Mechanism
34,do good samaritan laws protect those who help at an accident,True,do good samaritan laws protect those who help at an accident,Mechanism
34,do good samaritan laws protect those who help at an accident,True,do good samaritan laws protect those who help at an accident,Mechanism
34,do good samaritan laws protect those who help at an accident,True,do good samaritan laws protect those who help at an accident,Mechanism
34,do good samaritan laws protect those who help at an accident,True,do good samaritan laws protect those who help at an accident,Mechanism
35,is there a treatment for the bubonic plague,True,is there a treatment for the bubonic plague,Mechanism
35,is there a treatment for the bubonic plague,True,is there a treatment for the bubonic plague,Mechanism
35,is there a treatment for the bubonic plague,True,is there a treatment for the bubonic plague,Mechanism
35,is there a treatment for the bubonic plague,True,is there a treatment for the bubonic plague,Mechanism
35,is there a treatment for the bubonic plague,True,is there a treatment for the bubonic plague,Mechanism
36,was the leaning tower of pisa built leaning,False,was the leaning tower of pisa built leaning,Mechanism
36,was the leaning tower of pisa built leaning,False,was the leaning tower of pisa built leaning,Mechanism
36,was the leaning tower of pisa built leaning,False,was the leaning tower of pisa built leaning,Mechanism
36,was the leaning tower of pisa built leaning,False,was the leaning tower of pisa built leaning,Mechanism
36,was the leaning tower of pisa built leaning,False,was the leaning tower of pisa built leaning,Mechanism
37,does the world cup final go to penalties,True,does the world cup final go to penalties,Mechanism
37,does the world cup final go to penalties,True,does the world cup final go to penalties,Mechanism
37,does the world cup final go to penalties,True,does the world cup final go to penalties,Mechanism
37,does the world cup final go to penalties,True,does the world cup final go to penalties,Mechanism
37,does the world cup final go to penalties,True,does the world cup final go to penalties,Mechanism
38,have the milwaukee bucks ever won a championship,True,have the milwaukee bucks ever won a championship,Mechanism
38,have the milwaukee bucks ever won a championship,True,have the milwaukee bucks ever won a championship,Mechanism
38,have the milwaukee bucks ever won a championship,True,have the milwaukee bucks ever won a championship,Mechanism
38,have the milwaukee bucks ever won a championship,True,have the milwaukee bucks ever won a championship,Mechanism
38,have the milwaukee bucks ever won a championship,True,have the milwaukee bucks ever won a championship,Mechanism
39,can u marry a dead person in france,True,can u marry a dead person in france,Mechanism
39,can u marry a dead person in france,True,can u marry a dead person in france,Mechanism
39,can u marry a dead person in france,True,can u marry a dead person in france,Mechanism
39,can u marry a dead person in france,True,can u marry a dead person in france,Mechanism
39,can u marry a dead person in france,True,can u marry a dead person in france,Mechanism
40,is tomato puree and tomato sauce the same thing,False,is tomato puree and tomato sauce the same thing,Mechanism
40,is tomato puree and tomato sauce the same thing,False,is tomato puree and tomato sauce the same thing,Mechanism
40,is tomato puree and tomato sauce the same thing,False,is tomato puree and tomato sauce the same thing,Mechanism
40,is tomato puree and tomato sauce the same thing,False,is tomato puree and tomato sauce the same thing,Mechanism
40,is tomato puree and tomato sauce the same thing,False,is tomato puree and tomato sauce the same thing,Mechanism
