id,question,answer,obfuscatedQuestion,mechanism
1,will there be a new season of cutthroat kitchen,False,will there be a new season of cutthroat kitchen,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,will there be a new season of cutthroat kitchen,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,will there be a new season of cutthroat kitchen,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,will there be a new season of cutthroat kitchen,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,will there be a new season of cutthroat kitchen,Mahalanobis
2,can elves and humans mate lord of the rings,True,can elves and humans mate lord of the rings,Mahalanobis
2,can elves and humans mate lord of the rings,True,can elves and humans mate lord of the rings,Mahalanobis
2,can elves and humans mate lord of the rings,True,can elves and humans mate lord of the rings,Mahalanobis
2,can elves and humans mate lord of the rings,True,can elves and humans mate lord of the rings,Mahalanobis
2,can elves and humans mate lord of the rings,True,can elves and humans mate lord of the rings,Mahalanobis
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride the same thing,Mahalanobis
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride the same thing,Mahalanobis
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride the same thing,Mahalanobis
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride the same thing,Mahalanobis
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride the same thing,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise that knowledge should first be acquired through observation,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise that knowledge should first be acquired through observation,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise that knowledge should first be acquired through observation,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise that knowledge should first be acquired through observation,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise that knowledge should first be acquired through observation,Mahalanobis
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mahalanobis
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mahalanobis
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mahalanobis
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mahalanobis
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mahalanobis
6,is jack sikma in the hall of fame,True,is jack sikma in the hall of fame,Mahalanobis
6,is jack sikma in the hall of fame,True,is jack sikma in the hall of fame,Mahalanobis
6,is jack sikma in the hall of fame,True,is jack sikma in the hall of fame,Mahalanobis
6,is jack sikma in the hall of fame,True,is jack sikma in the hall of fame,Mahalanobis
6,is jack sikma in the hall of fame,True,is jack sikma in the hall of fame,Mahalanobis
7,is croatia part of the european economic area,True,is croatia part of the european economic area,Mahalanobis
7,is croatia part of the european economic area,True,is croatia part of the european economic area,Mahalanobis
7,is croatia part of the european economic area,True,is croatia part of the european economic area,Mahalanobis
7,is croatia part of the european economic area,True,is croatia part of the european economic area,Mahalanobis
7,is croatia part of the european economic area,True,is croatia part of the european economic area,Mahalanobis
8,is jersey currency legal tender in the uk,False,is jersey currency legal tender in the uk,Mahalanobis
8,is jersey currency legal tender in the uk,False,is jersey currency legal tender in the uk,Mahalanobis
8,is jersey currency legal tender in the uk,False,is jersey currency legal tender in the uk,Mahalanobis
