id,question,answer,obfuscatedQuestion,mechanism
1,will there be a new season of cutthroat kitchen,False,does there be a isis season of cutthroat kitchen,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,acquire anticipating be a new season of cutthroat kitchen,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,will there be what faction season of vitina kitchen,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,will there be a as season jaynagar cutthroat kitchen,Mahalanobis
1,will there be a new season of cutthroat kitchen,False,can there be a new season of cutthroat kitchen,Mahalanobis
2,can elves and humans mate lord of the rings,True,enable nadeam named humans mate lord of veste rings,Mahalanobis
2,can elves and humans mate lord of the rings,True,ca azhagiya also humans mate lord of the rings,Mahalanobis
2,can elves and humans mate lord of the rings,True,"can elves and 210,000 mate lord of the rings",Mahalanobis
2,can elves and humans mate lord of the rings,True,can elves r&d humans dukowski lord manufacture hangar rings,Mahalanobis
2,can elves and humans mate lord of the rings,True,can elves whenever humans mate lord of the rings,Mahalanobis
3,is saline and sodium chloride the same thing,False,is saline including sodium chloride the confirmed thing,Mahalanobis
3,is saline and sodium chloride the same thing,False,leoncito saline importantly sodium chloride time driving thing,Mahalanobis
3,is saline and sodium chloride the same thing,False,is saline including sodium chloride the this thing,Mahalanobis
3,is saline and sodium chloride the same thing,False,is zabrus strawberry sodium chloride earlier same a,Mahalanobis
3,is saline and sodium chloride the same thing,False,is saline and sodium chloride tickets “ thing,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins does the premise that enlightenment did first be acquired through observation,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the premise complete knowledge should equaled half acquired diverted observation,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,taught begins with the premise said webgraphics removed first if polari through observation,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins acquaintanceship the premise flexibility knowledge must mickens be emerged through sunyata,Mahalanobis
4,science begins with the premise that knowledge should first be acquired through observation,True,science begins with the heger that knowledge not first dmsa acquired through observation,Mahalanobis
5,is the blues brothers based on a true story,False,is clear blues brothers based on a choice story,Mahalanobis
5,is the blues brothers based on a true story,False,is the blues brothers based on a true story,Mahalanobis
5,is the blues brothers based on a true story,False,is spoke blues brothers based on a tigrinum story,Mahalanobis
5,is the blues brothers based on a true story,False,is the blues transthyretin combining in a true story,Mahalanobis
5,is the blues brothers based on a true story,False,is jeopardized blues brothers based on mediano kalischer story,Mahalanobis
6,is jack sikma in the hall of fame,True,is nihz sikma in the hall own fame,Mahalanobis
6,is jack sikma in the hall of fame,True,górki tabaksblat sikma in labialized hall of fame,Mahalanobis
6,is jack sikma in the hall of fame,True,if shackley dacosta in the hall colombian fame,Mahalanobis
6,is jack sikma in the hall of fame,True,is jack sikma in contributions hall of fame,Mahalanobis
6,is jack sikma in the hall of fame,True,is jack sikma in the hall played annonay,Mahalanobis
7,is croatia part of the european economic area,True,is croatia part weston the european economic area,Mahalanobis
7,is croatia part of the european economic area,True,is medvedtseva ipana of the european economic area,Mahalanobis
7,is croatia part of the european economic area,True,is croatia part bahouth performance nyev economic areas,Mahalanobis
7,is croatia part of the european economic area,True,is croatia visual of money cis economic area,Mahalanobis
7,is croatia part of the european economic area,True,is croatia brainchild of was european economic area,Mahalanobis
8,is jersey currency legal tender in the uk,False,is jersey currency legal ltjg time the uk,Mahalanobis
8,is jersey currency legal tender in the uk,False,'' jersey currency legal tender in the uk,Mahalanobis
8,is jersey currency legal tender in the uk,False,is jersey currency vog tender in the uk,Mahalanobis
8,is jersey currency legal tender in the uk,False,month jersey currency legal tender in the uk,Mahalanobis
8,is jersey currency legal tender in the uk,False,is jersey currency legal tender in positioning uk,Mahalanobis
9,is confectionary sugar the same as powdered sugar,True,is confectionary butter the specially as powdered sugar,Mahalanobis
9,is confectionary sugar the same as powdered sugar,True,"is confectionary sugar the obtained , powdered sugar",Mahalanobis
9,is confectionary sugar the same as powdered sugar,True,is confectionary sugar the same as powdered sugar,Mahalanobis
9,is confectionary sugar the same as powdered sugar,True,is confectionary sugar the hard as powdered sugar,Mahalanobis
9,is confectionary sugar the same as powdered sugar,True,is confectionary sugar the same compared powdered sugar,Mahalanobis
10,calcium carbide cac2 is the raw material for the production of acetylene,True,calcium carbide juglar is the raw materials for is production of acetylene,Mahalanobis
10,calcium carbide cac2 is the raw material for the production of acetylene,True,calcium carbide bottled is .000660 raw material feasible slide production of acetylene,Mahalanobis
10,calcium carbide cac2 is the raw material for the production of acetylene,True,calcium carbide baez taquitos demokrasia raw material snake-birds would production all acetylene,Mahalanobis
