id,query,response,epsilon,model,mechanism
0,will there be a new season of cutthroat kitchen,True,50,gemma-7b-it,CMP
1,can elves and humans mate lord of the rings,True,50,gemma-7b-it,CMP
2,is saline and sodium chloride the same thing,True,50,gemma-7b-it,CMP
3,science begins with the premise that knowledge should first be acquired through observation,True,50,gemma-7b-it,CMP
4,is the blues brothers based on a true story,True,50,gemma-7b-it,CMP
5,is jack sikma in the hall of fame,True,50,gemma-7b-it,CMP
6,is croatia part of the european economic area,True,50,gemma-7b-it,CMP
7,is jersey currency legal tender in the uk,False,50,gemma-7b-it,CMP
8,is confectionary sugar the same as powdered sugar,True,50,gemma-7b-it,CMP
9,calcium carbide cac2 is the raw material for the production of acetylene,True,50,gemma-7b-it,CMP
10,do iran and afghanistan speak the same language,False,50,gemma-7b-it,CMP
11,is elder scrolls online the same as skyrim,False,50,gemma-7b-it,CMP
12,the boy in the plastic bubble based on true story,True,50,gemma-7b-it,CMP
13,is the federal court the same as the supreme court,False,50,gemma-7b-it,CMP
14,is the movie fools gold a true story,True,50,gemma-7b-it,CMP
15,will there be a season 4 of da vincis demons,True,50,gemma-7b-it,CMP
16,did abraham lincoln write the letter in saving private ryan,False,50,gemma-7b-it,CMP
17,is there a now you see me 3 coming out,True,50,gemma-7b-it,CMP
18,do you always have to say check in chess,False,50,gemma-7b-it,CMP
19,does a penalty shoot out goal count towards the golden boot,True,50,gemma-7b-it,CMP
20,can you drink alcohol in public in denmark,True,50,gemma-7b-it,CMP
21,has any nfl team played the superbowl at home,True,50,gemma-7b-it,CMP
22,is a wolverine the same as a badger,False,50,gemma-7b-it,CMP
23,is an australian shepherd the same as an australian cattle dog,True,50,gemma-7b-it,CMP
24,is tim brown in the hall of fame,True,50,gemma-7b-it,CMP
25,does the icc has jurisdiction in the united states,True,50,gemma-7b-it,CMP
26,is windows movie maker part of windows essentials,True,50,gemma-7b-it,CMP
27,is the fallen movie going to have a sequel,True,50,gemma-7b-it,CMP
28,is batman and robin a sequel to batman forever,True,50,gemma-7b-it,CMP
29,is kingdom manga based on a true story,False,50,gemma-7b-it,CMP
30,will there be a green lantern 2 movie,True,50,gemma-7b-it,CMP
31,can you use oyster card at epsom station,True,50,gemma-7b-it,CMP
32,is post office and royal mail the same,False,50,gemma-7b-it,CMP
33,do good samaritan laws protect those who help at an accident,True,50,gemma-7b-it,CMP
34,is there a treatment for the bubonic plague,True,50,gemma-7b-it,CMP
35,was the leaning tower of pisa built leaning,True,50,gemma-7b-it,CMP
36,does the world cup final go to penalties,True,50,gemma-7b-it,CMP
37,have the milwaukee bucks ever won a championship,True,50,gemma-7b-it,CMP
38,can u marry a dead person in france,False,50,gemma-7b-it,CMP
39,is tomato puree and tomato sauce the same thing,False,50,gemma-7b-it,CMP
