id,question,obfuscatedQuestion,similarity
1,will there be a new season of cutthroat kitchen,will tingly nyt attempt celebration area xiv cutthroat icwa,0.66727465
2,can elves and humans mate lord of the rings,fracture elves viii stolpe coins lord dobrich reconnaissance carbohydrate,0.42847112
3,is saline and sodium chloride the same thing,relay blauser u.s sodium sulfuryl gunners tankers intuitively,0.6102609
4,science begins with the premise that knowledge should first be acquired through observation,tbs blasts white 34-kilometer temperance ubiquitously skylit delivery studies even mujahedin subpoenas heaven,0.18668851
5,is the blues brothers based on a true story,live boom blues brothers litigation ligament hero unpredictable converting,0.5843133
6,is jack sikma in the hall of fame,string jack mesquiteers in cleamons jhaw christ ceremonies,0.47279638
7,is croatia part of the european economic area,birthrate lithuanian help tonnes/ha impetus législatif worker acqusition,0.3118033
8,is jersey currency legal tender in the uk,between walraven currency clios gorgeous note used interceptor,0.4941264
9,is confectionary sugar the same as powdered sugar,gambler 14-17 inquiry serb allen doctor powdered lindenstrauss,0.43576884
10,calcium carbide cac2 is the raw material for the production of acetylene,excretion carbide raspberries ogawa facing rockie primary-school something soldier selector abolition mulch,0.393887
11,do iran and afghanistan speak the same language,dictionaries iranian arne afghanistan imperial rule do child,0.7186767
12,is elder scrolls online the same as skyrim,is wahid up-regulation mez postwar grasslands slowly mingxing,0.42552087
13,the boy in the plastic bubble based on true story,satisfied hyperbola yarraville through bhrigu campaign based on top-16 cookin,0.1980152
14,is the federal court the same as the supreme court,tomba powerful federal court bush southern electricity neanderthal adler puzzles,0.36474288
15,is the movie fools gold a true story,garis the dreamworks fool petrequin a apologizes unfolds,0.4729074
16,will there be a season 4 of da vincis demons,lula b.a. they a cooper cadet budding da thread demons,0.48679596
17,did abraham lincoln write the letter in saving private ryan,bobby miers functional 3:26 aronoff disko essentially dec diplomats theuner,0.42406186
18,is there a now you see me 3 coming out,checkfree visible a buenos asymmetrical polyhedron me ranged zetec 94.04,0.4008464
19,do you always have to say check in chess,souks lessen dilshod glafcos required veritas check helder mymensingh,0.36475688
20,does a penalty shoot out goal count towards the golden boot,mobilize pledged penalty 3-over people pregnancies gailey towards tiny torus bamenda,0.38530183
21,can you drink alcohol in public in denmark,views strings contamination eked in island delasin bloodying,0.2861455
22,has any nfl team played the superbowl at home,never definitely branagh snelling fastest works ponded renminbi pheromone,0.24403533
23,is a wolverine the same as a badger,bishop two-storey apocalypse allianz inherited clade living sonet,0.32969004
24,is an australian shepherd the same as an australian cattle dog,patients chambers australian hilary dry bosnia motherwell screening lak katzover kfi,0.38148326
25,is tim brown in the hall of fame,ruiz rim bernburg sparked daly hall object woolf,0.30908963
26,does the icc has jurisdiction in the united states,performs o'malley zta supporter jurisdiction no-hitter las american 1892,0.39125392
27,is windows movie maker part of windows essentials,bundesliga upwardly movie 1951 pldt media brenda unraveled,0.47301355
28,is the fallen movie going to have a sequel,boosts nguoi reverting movie saturday divert trombone kidnap warrior,0.410968
29,is batman and robin a sequel to batman forever,"yiu tudur bruce morals burn 1,346 deangelis batman outsold",0.57889926
30,is kingdom manga based on a true story,alucitidae league manga phillips underwear float medium story,0.5899906
31,will there be a green lantern 2 movie,vans washer caution continuous green inside 2 observant,0.31421098
32,can you use oyster card at epsom station,contract lucky camouflages 34-29 professional arizona epsom station,0.30143505
33,is post office and royal mail the same,list treasured office has coat mail vehicle records,0.48962155
34,do good samaritan laws protect those who help at an accident,do good migrante 2824 intangible navies tough gelayev bluebird an officials,0.4888919
35,is there a treatment for the bubonic plague,is juror correct diabetes plea elimination pickerington 0-8,0.5374087
36,was the leaning tower of pisa built leaning,nervous humanity bimonthly ownership shadow pisa lettering vermont,0.25529793
37,does the world cup final go to penalties,hodges wral championships cup tearaway 6-5 eskom penalties,0.54036975
38,have the milwaukee bucks ever won a championship,oberoi drilling banū outpatient states chip a championship,0.4904142
39,can u marry a dead person in france,management u mclean 0.1-percent missing tribunal tension france,0.5302312
40,is tomato puree and tomato sauce the same thing,˚ rubs puree light tomato sauce changed ante-nicene thuwunna,0.8026871
