id,question,obfuscatedQuestion,similarity
1,will there be a new season of cutthroat kitchen,uncitral assocham liar 90.93 aids need of bluff cleaning,0.39172348
2,can elves and humans mate lord of the rings,or hakobyan weinberg express kucan lakhdaria premio guixi rings,0.41798267
3,is saline and sodium chloride the same thing,$ saline between sodium runways bo'ao picos sophomore,0.6361968
4,science begins with the premise that knowledge should first be acquired through observation,: sits polled yingluck rama n't winerip listed grizzlies fuzeon ontario sat observation,0.14782509
5,is the blues brothers based on a true story,beketov lpfp godley a319 babruysk on vasilyeva allissa jennings,0.29153335
6,is jack sikma in the hall of fame,trinité mercury wilstein swiss aids prasat ireland mobility,0.3895332
7,is croatia part of the european economic area,"nivola croatia japan 133,600 du foolscap tremendous ameer",0.33228654
8,is jersey currency legal tender in the uk,cyrillic papadopoulos kuroda legal clause qimonda munich 0-6-0t,0.36531654
9,is confectionary sugar the same as powdered sugar,rural debis sugar depends jinyu 88.20 jaya sugar,0.5113264
10,calcium carbide cac2 is the raw material for the production of acetylene,calcium moor pinkner hussain quixote component at for awsat production brahms held,0.46468598
11,do iran and afghanistan speak the same language,chippendales iran thanomsak firefighters they prime ` bbcs,0.49444923
12,is elder scrolls online the same as skyrim,storming chief parents $ goffman 7.00 midrash membranous,0.28554443
13,the boy in the plastic bubble based on true story,98.30 or first concern plastic manuk own piscataqua but f.,0.35584548
14,is the federal court the same as the supreme court,capital india dlrs universite 135-year evian undesirable elementary/middle paulownia cases,0.39285117
15,is the movie fools gold a true story,"some onam horror/thriller immunizing bayonets theta nymphalidae """,0.45115772
16,will there be a season 4 of da vincis demons,new up 100 a campins gcsi 21-car toure oldřich every,0.3020161
17,did abraham lincoln write the letter in saving private ryan,t electrophysiological at said fill kim 1-year chasa pki dara,0.3237269
18,is there a now you see me 3 coming out,"version i money diameter over hz 0,467 antiperspirant goby russian",0.32288957
19,do you always have to say check in chess,school sherry said off little italy diavik explosives pahari,0.3316562
20,does a penalty shoot out goal count towards the golden boot,bln sarkozy nacchio shoot got wahda national sybilla status economique pushup,0.44886205
21,can you drink alcohol in public in denmark,2311-3731 define intoxicating originate dumai dncg nicolita eggert,0.3532526
22,has any nfl team played the superbowl at home,espectaculos convicted collegiate byars career-oriented 122 lucha qal manufacturers,0.35805976
23,is a wolverine the same as a badger,'s riding 46.91 rees use mayor karagandy mashad,0.23947893
24,is an australian shepherd the same as an australian cattle dog,pressure mukhtar australian reporteros team virus nanocrystalline iraq the 4-of-12 jamsil,0.36326873
25,is tim brown in the hall of fame,-0.6 quarter sanli xintai western munsan cell louisiana,0.28300837
26,does the icc has jurisdiction in the united states,hkg jr. ud settat jurisdiction .357 super-g lb chinachem,0.35431603
27,is windows movie maker part of windows essentials,decision trachsel 28.8 suitor polskie of woodball kimonos,0.42174652
28,is the fallen movie going to have a sequel,scoring children referendum dulic colder straits 0-4-0 patina olin,0.41475105
29,is batman and robin a sequel to batman forever,consumer 1177 rabushka calamagrostis convertible ubi rhythmic anarkali goldstone,0.29657993
30,is kingdom manga based on a true story,god died atr72 104.5 at schale -27 thirds,0.31219858
31,will there be a green lantern 2 movie,rynearson this sburgessdetnews.com devastating waziriya lantern movements traulsen,0.28534782
32,can you use oyster card at epsom station,ternate 's croatian lakes pizango societies epsom marine,0.23529229
33,is post office and royal mail the same,vendetta ford abdallahi new wimhurst hiawatha brown-headed horvitz,0.30124563
34,do good samaritan laws protect those who help at an accident,sherrif zwiesel moonda federal u.s.-chartered flotations hodgson erian t jooste phills,0.32844836
35,is there a treatment for the bubonic plague,happens llego gained kiggundu york boumediene infected smelling,0.5142973
36,was the leaning tower of pisa built leaning,him established off-center 144.3 super lycaon susanthika haibo,0.41755658
37,does the world cup final go to penalties,he lefka world cup assistant game embassies one,0.56850356
38,have the milwaukee bucks ever won a championship,"sociedade women stevens shagreen 7,100 buffalo government championship",0.44878948
39,can u marry a dead person in france,usct amman ankit darreh dead rather ironies haberer,0.50141495
40,is tomato puree and tomato sauce the same thing,malaitan shemini lysippos rivers tabular sauce appointment elements message,0.56508327
