id,question,obfuscatedQuestion,similarity
1,will there be a new season of cutthroat kitchen,will there be a new season of cutthroat kitchen,0.99999994
2,can elves and humans mate lord of the rings,can elves and humans mate lord of the rings,1.0
3,is saline and sodium chloride the same thing,is saline and sodium chloride the same thing,1.0
4,science begins with the premise that knowledge should first be acquired through observation,science begins with the premise that knowledge should first be acquired through observation,1.0
5,is the blues brothers based on a true story,is the blues brothers based on a true story,1.0
6,is jack sikma in the hall of fame,is jack sikma in the hall of fame,1.0000001
7,is croatia part of the european economic area,is croatia part of the european economic area,1.0000001
8,is jersey currency legal tender in the uk,is jersey currency legal tender in the uk,1.0000001
9,is confectionary sugar the same as powdered sugar,is confectionary sugar the same as powdered sugar,1.0
10,calcium carbide cac2 is the raw material for the production of acetylene,calcium carbide isochron is the raw material for the production of acetylene,0.98295546
11,do iran and afghanistan speak the same language,do iran and afghanistan speak the same language,1.0
12,is elder scrolls online the same as skyrim,is elder scrolls online the same as hippy,0.89301175
13,the boy in the plastic bubble based on true story,the boy in the plastic bubble based on true story,1.0
14,is the federal court the same as the supreme court,is the federal court the same as the supreme court,0.9999999
15,is the movie fools gold a true story,is the movie fools gold a true story,1.0
16,will there be a season 4 of da vincis demons,will there be a season 4 of da dragoslav demons,0.8994479
17,did abraham lincoln write the letter in saving private ryan,did abraham lincoln write the letter in saving private ryan,1.0
18,is there a now you see me 3 coming out,is there a now you see me 3 coming out,0.99999994
19,do you always have to say check in chess,do you always have to say check in chess,1.0
20,does a penalty shoot out goal count towards the golden boot,does a penalty shoot out goal count towards the golden boot,1.0
21,can you drink alcohol in public in denmark,can you drink alcohol in public in denmark,1.0
22,has any nfl team played the superbowl at home,has any nfl team played the superbowl at home,0.9999999
23,is a wolverine the same as a badger,is a wolverine the same as a badger,1.0
24,is an australian shepherd the same as an australian cattle dog,is an australian shepherd the same as an australian cattle dog,1.0000001
25,is tim brown in the hall of fame,is tim brown in the hall of fame,0.9999999
26,does the icc has jurisdiction in the united states,does the icc has jurisdiction in the united states,1.0
27,is windows movie maker part of windows essentials,is windows movie maker part of windows essentials,1.0
28,is the fallen movie going to have a sequel,is the fallen movie going to have a sequel,1.0000001
29,is batman and robin a sequel to batman forever,is batman and robin a sequel to batman forever,1.0
30,is kingdom manga based on a true story,is kingdom manga based on a true story,0.9999999
31,will there be a green lantern 2 movie,will there be a green lantern 2 movie,1.0
32,can you use oyster card at epsom station,can you use oyster card at epsom station,1.0
33,is post office and royal mail the same,is post office and royal mail the same,0.9999999
34,do good samaritan laws protect those who help at an accident,do good samaritan laws protect those who help at an accident,1.0
35,is there a treatment for the bubonic plague,is there a treatment for the bubonic plague,1.0
36,was the leaning tower of pisa built leaning,was the leaning tower of pisa built leaning,1.0
37,does the world cup final go to penalties,does the world cup final go to penalties,1.0
38,have the milwaukee bucks ever won a championship,have the milwaukee bucks ever won a championship,1.0
39,can u marry a dead person in france,can u marry a dead person in france,1.0
40,is tomato puree and tomato sauce the same thing,is tomato puree and tomato sauce the same thing,1.0
