id,question,obfuscatedQuestion,similarity
1,will there be a new season of cutthroat kitchen,do bratina griqualand antawn alogoskoufis kangyo earner equivalents akinnuoye,0.3496116
2,can elves and humans mate lord of the rings,every des nonu 4wd ordinariate suezaki kivu trogons nuc,0.16658227
3,is saline and sodium chloride the same thing,cargo josee medalis garamvoelgyi oblast landsbanki toyako uno,0.32444
4,science begins with the premise that knowledge should first be acquired through observation,gidley editor mgwirizano heyzer 109.7 dahaf murong had euro430 senescence console vilayanur nout,0.26186985
5,is the blues brothers based on a true story,newswires friedrich baluchistan caucuses forcados jingsheng highway hits 86.60,0.29155958
6,is jack sikma in the hall of fame,dunmow adigun 139.9 a-long castile-la power toxic leader,0.4005309
7,is croatia part of the european economic area,"turbine-generators uoif qunu their gandois 84.38 29,500 friuli-venezia",0.37002024
8,is jersey currency legal tender in the uk,questionnaires prohibitive somersaulted ethnic barzak lokendra oromo &,0.29961422
9,is confectionary sugar the same as powdered sugar,dev tapetum sugar cityrail archdeaconry homolog cocaine frazione,0.51106584
10,calcium carbide cac2 is the raw material for the production of acetylene,treepies kg other minute topten home german hiv lyases anthers 1099 decommissionings,0.36997947
11,do iran and afghanistan speak the same language,hindraf 83-73 rkk pushpa tibetan correctional 8259.31 matsumae,0.3955229
12,is elder scrolls online the same as skyrim,enmascarado name-the-team bhamjee arshad montecchi leistikow mudslide torrey,0.24485326
13,the boy in the plastic bubble based on true story,iftikhar gamecube faliron hockry katele 2001-2011 news praca merapi tael,0.35175353
14,is the federal court the same as the supreme court,http://www.defenselink.mil century wsdot :12 60.95 rosenker euphemistically hualan orrin leinweber,0.45190862
15,is the movie fools gold a true story,brain kim mah iraqi qwest manas analyst moscow,0.44757226
16,will there be a season 4 of da vincis demons,first-past-the-post 74.10 satria record hanzlik creek tamileelam cruze metall panesar,0.347988
17,did abraham lincoln write the letter in saving private ryan,"estádio e-mohammad your 3,399 energie creutzfeldt diuretics umpire recetas rowntree",0.36393178
18,is there a now you see me 3 coming out,board toler huijin diol binford 4.3-cent cup-winners by straziuso frontside,0.4840769
19,do you always have to say check in chess,ziercke 999th accuweather topix 8406 fedecamaras uhler 8-for-13 sulaymaniyah,0.27615035
20,does a penalty shoot out goal count towards the golden boot,two-digit tagliavini himachal cacak often ideaglobal party pastoral unicenter hushen collars,0.29960927
21,can you drink alcohol in public in denmark,debernardi zanardi ballet age spratlys budgets sphingidae wickremesinghe,0.2671489
22,has any nfl team played the superbowl at home,spokesman population katyn donlavey slovakia shehadeh akmal andya 500-stock,0.33027023
23,is a wolverine the same as a badger,jews steinhauer kaisha cartolini zaven serbs gmina all-america,0.32821396
24,is an australian shepherd the same as an australian cattle dog,privy king v/line abdul gore shawl http://thomas.loc.gov detroit timiskaming 330-seat tuks,0.2266403
25,is tim brown in the hall of fame,"kalateh-ye ducts columnist armstrong 35,300 zajedno quemado jogi",0.31545958
26,does the icc has jurisdiction in the united states,mazimpaka overturns football consulship 12-mile `` dollars anfield region-1,0.23550166
27,is windows movie maker part of windows essentials,816-822-8448 ' 5.10 94.90 denied poll dam samho,0.31584248
28,is the fallen movie going to have a sequel,"demanding 's heterochromatin liro categorias 418,000 champion polonium fukushima",0.27365392
29,is batman and robin a sequel to batman forever,'s her officership www.senate.gov yaari antalyaspor political droite lideres,0.13417402
30,is kingdom manga based on a true story,"mah transamerica begums animist poldhu 22,700 allahu ___________________",0.32685494
31,will there be a green lantern 2 movie,īyeh .470 liszt lachaise deserts 115.8 said westroads,0.23497564
32,can you use oyster card at epsom station,picture-winged defenseman songhay tshimanga tatyana merano insectivore german,0.0998716
33,is post office and royal mail the same,minister county sukhoi-25 100.00 tu-154 readers physiographic kazoku,0.353995
34,do good samaritan laws protect those who help at an accident,casque bird kelmscott 57-member gaillard sleptsovsk seh xf fiscal lankan madlyn,0.20443144
35,is there a treatment for the bubonic plague,dampf catalysis season-by-season dogbane warding tadawul bam baronetcies,0.43069234
36,was the leaning tower of pisa built leaning,ahl 78.64 like-named bernois notre micromollusks 47-game morning,0.1759123
37,does the world cup final go to penalties,fdch homered nz jerusalem erzhu held aurea drauzio,0.19957186
38,have the milwaukee bucks ever won a championship,cm hgh bouteflika replication mohagher hatf stagehand w2,0.22487909
39,can u marry a dead person in france,daybook wecht panisse 972-3550 hebron shizuishan european darreh,0.38692203
40,is tomato puree and tomato sauce the same thing,sofyan jianxing http://www.coxnews.com/2000 gminas novotná bobi cr lukashenko wanniarachchi,0.22093138
