id,question,obfuscatedQuestion,similarity
1,will there be a new season of cutthroat kitchen,mgm lebedev roving jubilant cbo dipterocarp font zire grossmont,0.47148743
2,can elves and humans mate lord of the rings,castile-leon pierluigi valance forests modulus curzon lymphoma _______________________________________ todas,0.32779044
3,is saline and sodium chloride the same thing,becomes sensation amelio zhaoxu 275-member villepin pge autobiographical,0.23689675
4,science begins with the premise that knowledge should first be acquired through observation,talman oakland-alameda myskina paralympics vitalogy putrajaya pheidippides logic kg/m 11-july renamed 91-84 lifeboats,0.23192868
5,is the blues brothers based on a true story,castine ftaa igman häkkinen euro200 526-5456 atr-72 spatial slavishly,0.3644888
6,is jack sikma in the hall of fame,pakistan lakeman pop/contemporary first-round xuejun florida desam all-pro,0.4138011
7,is croatia part of the european economic area,knesset fiumicino lovin cookies foibles european ishibashi gdansk,0.3410517
8,is jersey currency legal tender in the uk,hawkish carisbrook all-australian parliamentary bauhinia shelbourne elliptical drobnic,0.27337572
9,is confectionary sugar the same as powdered sugar,marine ka kloh airspeed middlesbrough sautter amino diabelli,0.28388345
10,calcium carbide cac2 is the raw material for the production of acetylene,micronutrient 0.375 schapelle okasan fragility plant policy stochastic hyphae dgbas epga morva,0.37285167
11,do iran and afghanistan speak the same language,tod sauber overallotment underthrown famitsu winglets satchmo sigurdardottir,0.34522614
12,is elder scrolls online the same as skyrim,fleet beauharnois algorithms hrawi first-class refleeting alcan guoqin,0.50953615
13,the boy in the plastic bubble based on true story,provider nyima shaiba rear poyet españa oakmark anthrax ill.-based adaptation,0.23550352
14,is the federal court the same as the supreme court,zener vejnoska olomouc coni pauleta delhaize bizkit steam superfund laps,0.24348864
15,is the movie fools gold a true story,nkk rafah zayas eaec grabowsky tenders cetacea atr-72,0.27807683
16,will there be a season 4 of da vincis demons,xiahou dermatitis tsheri valium shots paramilitary politician lal 4-1-1 xuejuan,0.44545764
17,did abraham lincoln write the letter in saving private ryan,"methylation hemingway kwasniewski changhong mexican-american yihan akkas dormant 3,000-3 curacies",0.29363695
18,is there a now you see me 3 coming out,tamil 16-bit longstock malaitan misoprostol talat iebc estaba braise koptev,0.4658162
19,do you always have to say check in chess,beetles carbomb baldor battalions gilt semitrailer ll.m morici sadruddin,0.3186065
20,does a penalty shoot out goal count towards the golden boot,destabilizing pulikovsky sleith gekko hotton antonito highflying deportivo manila dillman zpa,0.3256753
21,can you drink alcohol in public in denmark,madder avca curfew condoms www.whitehouse.gov bill airdate mid-season,0.25431195
22,has any nfl team played the superbowl at home,implant 499-3339 klitschko toboggan sikes oppland fmla prussian wmur,0.30467868
23,is a wolverine the same as a badger,national shahak roeper aisles -- jongrak elin bizonal,0.30296725
24,is an australian shepherd the same as an australian cattle dog,"rennae ninth hinggan 500,000-strong .600 eds. graders wheelbase 21/32 akinwande fromong",0.27483556
25,is tim brown in the hall of fame,a320 singles starbucks snorri suit dreifuss urbani haiyan,0.35808316
26,does the icc has jurisdiction in the united states,memory drobnic fourtou barony vibhushan radiological anti-surface tokitsukaze merit,0.3417047
27,is windows movie maker part of windows essentials,engeler hfmd urchins artibonite cinecitta milinkevich steenrod kaupthing,0.5083875
28,is the fallen movie going to have a sequel,chiudinelli vigilant gymnures braff akbel haqqani hollywood.com qingwei post-glacial,0.42220443
29,is batman and robin a sequel to batman forever,shailagh partitioned aftershock scmp zhihong cumplir chengji raimi kills,0.20004335
30,is kingdom manga based on a true story,oleśnica adamchuk pandava watchdog 7-to-5 borgens resistant length,0.34872237
31,will there be a green lantern 2 movie,golgi gotha herein snails biên cardinal-deacon albirex lurz,0.3088892
32,can you use oyster card at epsom station,sochacki slazenger on-premise colyandro terminals arizonarepublic.com seabiscuit 50-meter,0.35673338
33,is post office and royal mail the same,poplasen bladder reopens drier zama webber silbert skube,0.32028484
34,do good samaritan laws protect those who help at an accident,turlington razzed blandings pooling www.startext.net warmly arterial supersymmetry 1-732-390-4480 avenues deaths,0.31249505
35,is there a treatment for the bubonic plague,keyworth samar 24 mindanao pni.com catchallmails catarina horn,0.27209842
36,was the leaning tower of pisa built leaning,destroyed backlots .833 petropolis diplomatics ..... compile-time galliani,0.26852855
37,does the world cup final go to penalties,biogenesis michalczewski computerologist cup kvitova psocoptera pde bracketed,0.2672505
38,have the milwaukee bucks ever won a championship,manet jaromir zlín bundelkhand tearsheet hurndall hangs championship,0.3843027
39,can u marry a dead person in france,carollo agiza taslima ebook curci yardeni phone marche,0.3016421
40,is tomato puree and tomato sauce the same thing,"6a 150,000-a .600 palm 2-for-1 shinseki immigrant este hokkien",0.32797745
